template,query_index,oracle_results,custom_results,correct,complete,status
Q_3_location_gender_type,13,1,1,true,true,CORRECT
Q_1_eligibleregion,16,12,12,true,true,CORRECT
Q_4_location_nationality_gender_type,21,0,0,true,true,CORRECT
Q_1_eligibleregion,46,6,6,true,true,CORRECT
Q_1_includes,12,0,0,true,true,CORRECT
Q_1_likes,57,0,0,true,true,CORRECT
Q_3_location_gender_type,48,0,0,true,true,CORRECT
Q_3_location_nationality_gender,24,0,0,true,true,CORRECT
Q_3_location_gender_type,18,0,0,true,true,CORRECT
Q_3_location_gender_type,14,0,0,true,true,CORRECT
Q_1_eligibleregion,28,142,142,true,true,CORRECT
Q_3_location_nationality_gender,77,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,76,0,0,true,true,CORRECT
Q_1_subscribes,47,0,0,true,true,CORRECT
Q_3_location_nationality_gender,42,0,0,true,true,CORRECT
Q_1_eligibleregion,1,19,19,true,true,CORRECT
Q_1_eligibleregion,22,40,40,true,true,CORRECT
Q_4_location_nationality_gender_type,53,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,46,0,0,true,true,CORRECT
Q_3_location_nationality_gender,61,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,71,0,0,true,true,CORRECT
Q_2_tag_homepage,27,0,0,true,true,CORRECT
Q_1_likes,63,0,0,true,true,CORRECT
Q_2_tag_homepage,18,0,0,true,true,CORRECT
Q_1_includes,13,0,0,true,true,CORRECT
Q_3_location_nationality_gender,45,0,0,true,true,CORRECT
Q_2_tag_homepage,17,0,0,true,true,CORRECT
Q_2_subscribes_likes,96,0,0,true,true,CORRECT
Q_2_tag_homepage,14,0,0,true,true,CORRECT
Q_2_subscribes_likes,71,0,0,true,true,CORRECT
Q_1_nationality,34,2,2,true,true,CORRECT
Q_1_includes,51,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,92,0,0,true,true,CORRECT
Q_1_includes,9,6,6,true,true,CORRECT
Q_3_nationality_gender_type,20,0,0,true,true,CORRECT
Q_2_likes_nationality,29,1,1,true,true,CORRECT
Q_2_tag_homepage,15,0,0,true,true,CORRECT
Q_3_location_gender_type,30,2,2,true,true,CORRECT
Q_3_location_nationality_gender,9,0,0,true,true,CORRECT
Q_3_location_nationality_gender,88,0,0,true,true,CORRECT
Q_3_location_nationality_gender,65,0,0,true,true,CORRECT
Q_1_subscribes,58,0,0,true,true,CORRECT
Q_2_likes_nationality,50,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,23,0,0,true,true,CORRECT
Q_3_location_gender_type,24,2,2,true,true,CORRECT
Q_1_subscribes,34,0,0,true,true,CORRECT
Q_1_eligibleregion,45,11,11,true,true,CORRECT
Q_2_subscribes_likes,53,0,0,true,true,CORRECT
Q_3_nationality_gender_type,32,0,0,true,true,CORRECT
Q_3_location_gender_type,41,2,2,true,true,CORRECT
Q_1_includes,8,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,41,0,0,true,true,CORRECT
Q_3_location_nationality_gender,59,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,43,0,0,true,true,CORRECT
Q_1_likes,56,0,0,true,true,CORRECT
Q_1_subscribes,43,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,95,0,0,true,true,CORRECT
Q_2_likes_nationality,38,0,0,true,true,CORRECT
Q_3_nationality_gender_type,33,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,7,0,0,true,true,CORRECT
Q_3_nationality_gender_type,23,0,0,true,true,CORRECT
Q_1_likes,10,0,0,true,true,CORRECT
Q_3_location_nationality_gender,68,0,0,true,true,CORRECT
Q_3_nationality_gender_type,13,1,1,true,true,CORRECT
Q_3_nationality_gender_type,30,5,5,true,true,CORRECT
Q_3_location_gender_type,23,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,27,0,0,true,true,CORRECT
Q_3_location_nationality_gender,92,0,0,true,true,CORRECT
Q_3_nationality_gender_type,16,0,0,true,true,CORRECT
Q_1_includes,31,0,0,true,true,CORRECT
Q_2_likes_nationality,14,0,0,true,true,CORRECT
Q_2_subscribes_likes,10,0,0,true,true,CORRECT
Q_2_tag_homepage,62,0,0,true,true,CORRECT
Q_2_likes_nationality,30,0,0,true,true,CORRECT
Q_1_likes,0,0,0,true,true,CORRECT
Q_1_eligibleregion,2,21,21,true,true,CORRECT
Q_2_includes_eligibleRegion,30,0,0,true,true,CORRECT
Q_2_subscribes_likes,70,0,0,true,true,CORRECT
Q_3_location_nationality_gender,72,0,0,true,true,CORRECT
Q_2_subscribes_likes,77,0,0,true,true,CORRECT
Q_3_location_nationality_gender,66,0,0,true,true,CORRECT
Q_2_tag_homepage,56,0,0,true,true,CORRECT
Q_2_tag_homepage,47,0,0,true,true,CORRECT
Q_3_location_nationality_gender,27,0,0,true,true,CORRECT
Q_1_includes,22,0,0,true,true,CORRECT
Q_2_tag_homepage,61,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,31,0,0,true,true,CORRECT
Q_2_likes_nationality,10,0,0,true,true,CORRECT
Q_2_subscribes_likes,26,0,0,true,true,CORRECT
Q_1_eligibleregion,19,15,15,true,true,CORRECT
Q_1_subscribes,16,0,0,true,true,CORRECT
Q_1_subscribes,44,0,0,true,true,CORRECT
Q_1_nationality,29,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,39,0,0,true,true,CORRECT
Q_2_subscribes_likes,3,0,0,true,true,CORRECT
Q_3_location_nationality_gender,31,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,29,0,0,true,true,CORRECT
Q_1_nationality,40,57,57,true,true,CORRECT
Q_3_location_nationality_gender,34,0,0,true,true,CORRECT
Q_1_likes,13,0,0,true,true,CORRECT
