template,query_index,oracle_results,custom_results,correct,complete,status
Q_1_nationality,37,4,4,true,true,CORRECT
Q_2_includes_eligibleRegion,20,0,0,true,true,CORRECT
Q_1_includes,29,0,0,true,true,CORRECT
Q_2_subscribes_likes,55,0,0,true,true,CORRECT
Q_1_nationality,17,1,1,true,true,CORRECT
Q_3_location_gender_type,5,15,15,true,true,CORRECT
Q_1_subscribes,19,0,0,true,true,CORRECT
Q_2_tag_homepage,44,0,0,true,true,CORRECT
Q_2_subscribes_likes,24,0,0,true,true,CORRECT
Q_1_likes,52,0,0,true,true,CORRECT
Q_2_subscribes_likes,40,0,0,true,true,CORRECT
Q_3_location_nationality_gender,54,5,5,true,true,CORRECT
Q_1_includes,36,0,0,true,true,CORRECT
Q_3_location_nationality_gender,83,0,0,true,true,CORRECT
Q_3_location_gender_type,14,0,0,true,true,CORRECT
Q_1_eligibleregion,47,17,17,true,true,CORRECT
Q_3_nationality_gender_type,23,0,0,true,true,CORRECT
Q_1_nationality,4,36,36,true,true,CORRECT
Q_2_tag_homepage,0,0,0,true,true,CORRECT
Q_1_subscribes,40,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,3,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,30,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,23,0,0,true,true,CORRECT
Q_1_likes,21,0,0,true,true,CORRECT
Q_1_subscribes,34,0,0,true,true,CORRECT
Q_2_tag_homepage,18,0,0,true,true,CORRECT
Q_3_location_nationality_gender,10,0,0,true,true,CORRECT
Q_2_likes_nationality,21,0,0,true,true,CORRECT
Q_3_nationality_gender_type,29,0,0,true,true,CORRECT
Q_2_subscribes_likes,97,0,0,true,true,CORRECT
Q_1_subscribes,24,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,81,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,51,0,0,true,true,CORRECT
Q_2_subscribes_likes,64,0,0,true,true,CORRECT
Q_2_tag_homepage,37,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,47,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,44,0,0,true,true,CORRECT
Q_3_nationality_gender_type,1,0,0,true,true,CORRECT
Q_3_nationality_gender_type,19,1,1,true,true,CORRECT
Q_1_likes,38,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,63,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,6,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,92,0,0,true,true,CORRECT
Q_1_eligibleregion,37,237,237,true,true,CORRECT
Q_3_location_nationality_gender,46,0,0,true,true,CORRECT
Q_3_location_nationality_gender,51,0,0,true,true,CORRECT
Q_2_likes_nationality,5,0,0,true,true,CORRECT
Q_2_subscribes_likes,42,0,0,true,true,CORRECT
Q_3_location_nationality_gender,78,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,54,0,0,true,true,CORRECT
Q_2_tag_homepage,28,0,0,true,true,CORRECT
Q_2_subscribes_likes,69,0,0,true,true,CORRECT
Q_1_subscribes,30,0,0,true,true,CORRECT
Q_2_subscribes_likes,87,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,0,0,0,true,true,CORRECT
Q_1_nationality,33,14,14,true,true,CORRECT
Q_2_subscribes_likes,71,0,0,true,true,CORRECT
Q_1_eligibleregion,39,5,5,true,true,CORRECT
Q_1_likes,35,0,0,true,true,CORRECT
Q_1_includes,28,0,0,true,true,CORRECT
Q_2_tag_homepage,36,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,49,0,0,true,true,CORRECT
Q_1_subscribes,31,0,0,true,true,CORRECT
Q_2_likes_nationality,26,4,4,true,true,CORRECT
Q_1_subscribes,1,0,0,true,true,CORRECT
Q_2_tag_homepage,11,0,0,true,true,CORRECT
Q_3_location_nationality_gender,88,0,0,true,true,CORRECT
Q_3_location_gender_type,8,0,0,true,true,CORRECT
Q_1_includes,8,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,41,0,0,true,true,CORRECT
Q_1_eligibleregion,40,13,13,true,true,CORRECT
Q_2_includes_eligibleRegion,22,0,0,true,true,CORRECT
Q_1_subscribes,47,0,0,true,true,CORRECT
Q_1_likes,50,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,42,0,0,true,true,CORRECT
Q_1_nationality,50,3,3,true,true,CORRECT
